user,timestamp,requested_page,referrer_page
440,2019-07-03 10:11:15,124,66
404,2019-07-01 13:34:44,109,141
254,2019-07-02 10:06:58,50,108
64,2019-07-03 12:00:47,133,41
448,2019-07-02 16:16:03,57,33
202,2019-07-01 14:47:39,35,15
247,2019-07-02 21:08:20,128,184
144,2019-07-01 00:20:46,13,141
227,2019-07-02 04:32:02,125,44
889,2019-07-03 06:39:43,86,124
847,2019-07-02 10:18:53,51,64
510,2019-07-01 06:28:41,110,147
464,2019-07-01 15:49:25,36,131
158,2019-07-03 05:53:22,63,29
301,2019-07-03 21:19:13,192,154
874,2019-07-03 01:08:08,180,182
312,2019-07-02 19:52:01,187,193
84,2019-07-02 09:01:51,15,166
563,2019-07-02 22:39:52,5,119
172,2019-07-02 05:13:10,196,157
244,2019-07-02 20:21:32,199,53
650,2019-07-02 02:39:15,51,148
739,2019-07-03 14:25:06,114,148
963,2019-07-01 12:15:51,151,163
447,2019-07-03 15:52:48,162,34
447,2019-07-02 10:52:48,30,16
749,2019-07-01 06:55:42,194,76
706,2019-07-02 04:46:39,98,180
764,2019-07-01 14:15:11,161,21
266,2019-07-03 15:19:44,139,176
420,2019-07-03 18:57:38,175,193
471,2019-07-03 23:48:25,192,19
689,2019-07-01 18:57:03,157,175
361,2019-07-03 08:32:53,17,100
652,2019-07-03 04:10:50,70,119
544,2019-07-01 23:23:46,76,190
495,2019-07-01 13:05:08,188,17
479,2019-07-02 22:36:03,184,101
794,2019-07-01 07:48:17,185,33
996,2019-07-01 13:32:14,149,138
914,2019-07-01 12:20:40,155,90
988,2019-07-01 10:08:18,22,141
396,2019-07-01 00:59:27,1,89
874,2019-07-03 13:01:11,121,61
564,2019-07-03 16:50:25,131,33
548,2019-07-02 04:06:15,100,14
554,2019-07-02 18:49:39,43,98
205,2019-07-03 20:08:33,168,183
541,2019-07-02 15:15:42,101,184
768,2019-07-03 22:13:13,27,133
204,2019-07-02 10:04:18,52,47
348,2019-07-03 10:28:53,138,135
891,2019-07-02 00:00:36,87,93
480,2019-07-01 17:59:00,8,159
324,2019-07-01 08:42:34,135,76
635,2019-07-02 01:23:40,116,100
414,2019-07-02 16:30:49,150,165
481,2019-07-02 15:37:08,110,155
648,2019-07-01 08:41:21,142,7
712,2019-07-02 03:07:20,5,32
573,2019-07-03 11:50:11,31,92
713,2019-07-01 11:20:41,54,146
657,2019-07-01 11:13:26,175,52
688,2019-07-02 04:34:38,174,63
473,2019-07-01 04:40:15,171,197
369,2019-07-02 07:21:32,43,58
114,2019-07-01 22:27:00,169,127
883,2019-07-01 04:31:18,62,186
459,2019-07-03 15:28:09,22,52
417,2019-07-02 01:57:42,138,181
483,2019-07-01 12:48:52,184,52
536,2019-07-01 01:43:04,197,96
155,2019-07-02 02:24:15,13,139
475,2019-07-03 11:27:49,191,18
811,2019-07-01 02:05:08,132,166
701,2019-07-02 17:45:49,68,78
127,2019-07-02 14:18:08,99,36
321,2019-07-02 05:32:26,89,79
47,2019-07-01 17:03:11,136,23
916,2019-07-01 19:54:34,19,94
788,2019-07-01 13:06:49,118,128
493,2019-07-02 18:05:32,16,48
366,2019-07-03 10:19:24,100,137
240,2019-07-02 12:36:46,187,185
6,2019-07-02 20:07:11,116,54
729,2019-07-03 10:05:32,172,19
143,2019-07-01 00:39:23,199,135
910,2019-07-01 01:13:15,73,117
230,2019-07-03 13:13:35,119,169
283,2019-07-01 00:30:54,70,81
136,2019-07-01 17:04:14,125,184
804,2019-07-02 20:56:50,187,116
16,2019-07-01 23:18:42,36,41
928,2019-07-02 08:42:02,104,66
523,2019-07-01 03:33:04,45,65
696,2019-07-03 12:32:57,51,57
637,2019-07-03 21:56:53,178,13
580,2019-07-03 21:47:56,109,189
650,2019-07-02 00:25:34,195,120
943,2019-07-01 20:30:53,47,61
767,2019-07-01 09:02:19,139,50
366,2019-07-02 22:57:32,11,10
466,2019-07-02 09:01:30,95,189
768,2019-07-03 19:08:27,134,36
268,2019-07-01 13:23:42,88,102
710,2019-07-02 18:56:39,15,156
419,2019-07-02 03:26:30,56,127
312,2019-07-03 03:00:56,66,175
656,2019-07-03 11:58:27,90,0
536,2019-07-02 23:18:04,43,137
436,2019-07-03 03:15:36,73,102
50,2019-07-01 05:21:53,137,28
221,2019-07-03 19:36:00,176,132
141,2019-07-02 16:28:46,127,44
140,2019-07-02 00:31:03,33,134
743,2019-07-02 21:05:52,31,191
61,2019-07-02 06:02:27,140,173
331,2019-07-03 11:13:33,198,128
989,2019-07-02 08:56:19,159,104
339,2019-07-02 19:52:45,45,97
974,2019-07-01 07:09:30,130,171
734,2019-07-01 09:06:51,178,20
867,2019-07-03 04:40:07,159,61
323,2019-07-02 15:34:56,160,28
539,2019-07-02 09:45:04,119,29
325,2019-07-03 11:56:01,80,148
593,2019-07-02 14:19:00,60,116
561,2019-07-03 18:03:44,5,128
762,2019-07-02 17:43:21,22,195
59,2019-07-01 00:41:47,178,194
729,2019-07-02 03:01:15,16,179
190,2019-07-03 21:09:24,72,90
772,2019-07-02 10:33:19,80,70
97,2019-07-02 20:42:35,48,193
898,2019-07-01 23:08:20,105,74
205,2019-07-01 02:26:59,197,81
830,2019-07-01 20:34:17,112,96
127,2019-07-03 19:09:11,99,11
312,2019-07-03 11:35:27,21,123
991,2019-07-01 12:03:55,84,77
200,2019-07-03 11:06:10,186,74
837,2019-07-01 11:14:09,141,59
811,2019-07-03 11:25:22,158,163
247,2019-07-03 19:53:20,31,76
815,2019-07-03 10:08:12,150,122
51,2019-07-01 01:11:20,155,175
935,2019-07-01 09:38:46,69,16
649,2019-07-02 01:35:15,166,23
463,2019-07-03 08:43:45,75,0
587,2019-07-02 00:58:52,123,102
888,2019-07-02 09:34:06,128,40
232,2019-07-01 10:47:38,150,21
235,2019-07-03 00:49:31,50,31
924,2019-07-02 07:21:11,38,163
742,2019-07-03 13:08:48,26,26
431,2019-07-02 14:27:04,67,105
892,2019-07-03 12:34:42,63,60
981,2019-07-02 21:13:35,85,106
743,2019-07-03 06:17:14,187,27
860,2019-07-03 11:11:09,168,31
211,2019-07-02 07:57:45,183,147
139,2019-07-01 19:01:25,98,129
181,2019-07-02 15:27:55,121,35
351,2019-07-02 14:27:34,11,133
376,2019-07-01 07:50:46,66,179
192,2019-07-02 04:11:07,172,123
360,2019-07-02 03:20:24,24,22
75,2019-07-03 07:42:33,194,68
9,2019-07-02 23:12:06,114,174
129,2019-07-02 00:42:18,7,55
73,2019-07-01 03:50:13,34,119
176,2019-07-03 20:55:55,145,50
742,2019-07-01 21:23:35,153,105
635,2019-07-01 15:16:40,128,118
966,2019-07-01 15:59:57,140,99
679,2019-07-01 05:13:54,125,103
864,2019-07-01 20:40:57,71,70
122,2019-07-03 23:32:23,109,26
468,2019-07-03 08:40:08,57,157
481,2019-07-02 06:14:56,62,81
935,2019-07-01 11:49:24,37,115
700,2019-07-01 03:31:46,91,27
543,2019-07-03 14:15:28,180,10
876,2019-07-01 07:31:09,151,189
835,2019-07-02 03:47:48,159,191
249,2019-07-03 02:43:46,146,121
927,2019-07-02 15:59:40,57,118
147,2019-07-01 22:00:51,89,97
343,2019-07-01 05:40:53,59,49
320,2019-07-01 05:32:21,10,131
566,2019-07-01 08:40:34,109,23
82,2019-07-01 13:38:01,97,74
471,2019-07-02 23:20:17,86,67
551,2019-07-01 10:41:45,175,138
718,2019-07-03 02:59:18,65,23
407,2019-07-03 15:08:01,16,199
82,2019-07-01 17:26:49,47,101
492,2019-07-02 04:40:51,63,7
37,2019-07-01 12:25:49,14,88
643,2019-07-02 16:06:34,55,76
641,2019-07-03 20:26:55,104,89
256,2019-07-01 09:24:39,137,39
836,2019-07-03 06:29:22,8,138
968,2019-07-03 18:41:26,165,134
593,2019-07-01 06:03:20,115,159
341,2019-07-01 04:41:18,74,55
284,2019-07-03 12:53:47,144,158
567,2019-07-02 02:57:22,124,19
296,2019-07-02 04:50:10,177,153
581,2019-07-03 18:11:11,6,17
204,2019-07-03 03:44:45,31,127
149,2019-07-02 18:26:42,193,125
466,2019-07-03 09:26:12,26,187
429,2019-07-01 12:56:49,151,143
799,2019-07-02 03:58:13,149,181
462,2019-07-02 11:24:14,113,176
930,2019-07-02 23:28:15,142,181
500,2019-07-01 17:58:38,69,21
390,2019-07-01 04:15:21,142,142
572,2019-07-02 03:05:58,179,146
249,2019-07-02 19:13:07,26,149
803,2019-07-01 02:05:45,54,97
473,2019-07-01 20:03:54,8,168
209,2019-07-02 11:34:10,51,29
490,2019-07-01 22:03:45,12,11
250,2019-07-01 14:58:28,142,134
817,2019-07-02 21:54:02,103,144
159,2019-07-03 20:37:50,1,125
601,2019-07-01 04:34:42,189,85
815,2019-07-03 15:45:14,169,136
207,2019-07-02 07:46:36,8,29
9,2019-07-01 08:48:47,25,72
322,2019-07-01 10:55:44,108,3
688,2019-07-01 18:43:07,12,161
252,2019-07-01 01:31:50,168,147
159,2019-07-02 05:56:45,80,190
185,2019-07-02 01:15:36,183,155
120,2019-07-02 18:39:14,114,22
938,2019-07-02 05:10:50,46,49
372,2019-07-02 10:25:23,70,97
105,2019-07-02 19:38:29,165,176
640,2019-07-01 04:06:37,17,160
872,2019-07-02 13:46:30,150,190
382,2019-07-03 15:01:42,30,17
107,2019-07-01 02:37:31,191,76
393,2019-07-01 08:00:38,91,164
290,2019-07-02 09:40:29,166,186
718,2019-07-03 10:31:37,86,59
268,2019-07-02 05:17:29,91,20
913,2019-07-03 15:31:43,73,165
119,2019-07-03 19:43:04,16,164
380,2019-07-01 07:34:54,166,175
309,2019-07-03 00:59:44,188,14
835,2019-07-01 15:22:08,196,150
137,2019-07-03 16:41:49,81,75
775,2019-07-02 07:20:10,82,195
18,2019-07-01 16:54:39,196,171
544,2019-07-02 01:12:15,170,158
824,2019-07-03 15:24:39,16,103
697,2019-07-01 11:26:47,42,181
688,2019-07-01 09:19:40,86,128
373,2019-07-02 06:37:55,5,23
667,2019-07-03 20:28:46,60,171
464,2019-07-03 05:43:02,182,29
462,2019-07-01 00:44:20,8,145
645,2019-07-02 11:52:21,199,3
518,2019-07-03 06:22:29,47,196
251,2019-07-03 17:34:41,168,83
399,2019-07-02 02:50:49,73,108
568,2019-07-03 14:58:03,37,31
371,2019-07-01 10:03:13,110,102
841,2019-07-01 14:49:29,162,132
491,2019-07-02 14:54:01,41,195
840,2019-07-02 23:43:01,74,141
890,2019-07-03 19:19:23,12,186
575,2019-07-02 14:34:56,50,126
465,2019-07-03 23:00:12,78,191
584,2019-07-03 14:11:04,74,38
151,2019-07-03 15:21:35,64,64
422,2019-07-03 10:07:37,178,187
188,2019-07-01 13:51:18,165,83
490,2019-07-01 00:54:06,127,108
307,2019-07-03 16:11:44,134,106
810,2019-07-02 23:58:15,158,137
781,2019-07-02 07:04:04,94,126
559,2019-07-03 02:52:48,132,100
806,2019-07-01 14:42:32,22,0
274,2019-07-03 05:34:25,46,33
390,2019-07-01 01:03:47,192,39
645,2019-07-02 17:40:14,112,80
971,2019-07-02 04:51:21,145,180
479,2019-07-03 15:54:51,167,157
415,2019-07-01 02:49:08,96,46
504,2019-07-02 08:46:16,93,97
301,2019-07-02 22:02:50,55,181
710,2019-07-01 14:44:27,58,133
446,2019-07-03 05:49:28,192,16
577,2019-07-01 06:08:24,88,174
159,2019-07-02 22:26:08,187,172
26,2019-07-02 21:56:04,133,153
979,2019-07-01 12:27:20,52,60
901,2019-07-03 19:11:27,148,37
619,2019-07-01 02:29:48,122,36
829,2019-07-01 00:51:19,161,195
801,2019-07-01 10:03:25,94,80
129,2019-07-01 09:20:00,30,188
83,2019-07-01 22:22:57,165,166
24,2019-07-02 15:57:38,38,138
876,2019-07-02 19:38:49,182,108
443,2019-07-02 03:43:17,133,14
0,2019-07-01 22:50:30,40,130
37,2019-07-03 06:27:18,4,153
772,2019-07-03 19:05:36,149,144
754,2019-07-01 12:11:09,160,60
272,2019-07-03 03:45:57,24,125
393,2019-07-03 00:10:26,185,122
186,2019-07-01 02:24:49,189,167
581,2019-07-03 22:27:49,87,175
97,2019-07-01 11:57:24,22,110
883,2019-07-03 06:36:38,89,48
564,2019-07-03 18:20:14,33,162
243,2019-07-03 16:16:42,189,59
481,2019-07-01 01:58:48,143,29
443,2019-07-02 11:28:53,180,10
714,2019-07-02 14:32:19,157,125
126,2019-07-02 08:19:11,171,53
386,2019-07-01 21:51:25,197,103
262,2019-07-03 06:36:34,171,85
248,2019-07-02 06:50:31,78,16
419,2019-07-02 14:45:25,197,34
520,2019-07-02 10:21:24,8,70
859,2019-07-02 08:32:42,144,88
182,2019-07-01 04:44:49,32,144
25,2019-07-03 06:25:51,15,116
231,2019-07-01 19:57:21,107,131
399,2019-07-03 10:39:56,165,148
961,2019-07-01 00:14:41,56,47
593,2019-07-01 09:03:10,6,37
564,2019-07-02 18:52:21,160,24
896,2019-07-01 09:54:30,67,75
365,2019-07-02 12:42:26,19,10
433,2019-07-02 20:42:43,42,44
32,2019-07-02 21:55:44,10,36
308,2019-07-03 16:05:22,36,45
199,2019-07-01 19:22:54,134,163
754,2019-07-01 19:22:59,97,61
240,2019-07-02 01:25:18,103,189
462,2019-07-03 23:07:34,33,62
811,2019-07-02 01:07:11,65,55
703,2019-07-03 10:28:32,17,131
125,2019-07-03 12:43:01,82,59
78,2019-07-01 01:22:50,106,38
568,2019-07-03 03:49:37,89,61
563,2019-07-02 05:26:38,105,14
897,2019-07-03 12:58:25,143,91
502,2019-07-01 09:53:26,148,2
57,2019-07-02 06:10:52,184,149
659,2019-07-02 11:16:32,15,191
321,2019-07-01 21:06:22,152,119
620,2019-07-03 23:35:57,24,194
561,2019-07-02 12:11:11,134,93
941,2019-07-01 14:40:30,143,176
796,2019-07-01 22:45:02,91,133
763,2019-07-02 20:59:59,138,156
285,2019-07-02 06:03:41,66,106
38,2019-07-03 22:24:13,149,104
119,2019-07-01 17:35:45,172,154
736,2019-07-03 16:46:17,157,65
24,2019-07-03 04:58:04,79,187
111,2019-07-02 21:17:45,122,22
723,2019-07-03 10:20:52,103,100
788,2019-07-01 08:24:05,190,8
216,2019-07-03 01:02:10,81,117
513,2019-07-02 12:05:30,92,164
841,2019-07-01 00:47:44,137,80
210,2019-07-02 20:07:26,169,156
670,2019-07-03 11:37:15,20,154
675,2019-07-01 00:37:27,143,73
478,2019-07-03 10:25:52,102,24
163,2019-07-02 09:40:45,168,112
28,2019-07-03 02:39:20,126,44
57,2019-07-02 19:35:32,6,60
858,2019-07-03 10:17:41,18,180
304,2019-07-02 10:51:42,143,183
508,2019-07-02 19:36:20,125,174
508,2019-07-02 06:12:54,184,126
348,2019-07-01 11:51:07,181,163
447,2019-07-02 08:47:40,184,147
146,2019-07-02 15:43:08,35,66
728,2019-07-02 08:16:39,192,198
730,2019-07-02 12:28:23,96,36
969,2019-07-03 12:32:03,184,76
785,2019-07-03 15:28:11,63,146
328,2019-07-03 21:45:04,26,68
674,2019-07-03 14:41:15,74,186
430,2019-07-03 17:45:08,109,21
725,2019-07-01 20:36:24,91,8
687,2019-07-01 18:26:25,20,57
925,2019-07-03 16:03:19,149,76
207,2019-07-01 03:06:24,29,44
813,2019-07-03 13:35:39,171,56
336,2019-07-03 13:16:54,21,128
211,2019-07-03 07:41:06,2,178
610,2019-07-02 20:11:39,182,111
131,2019-07-01 13:52:13,29,53
527,2019-07-01 08:00:45,155,188
394,2019-07-01 08:03:24,80,7
731,2019-07-01 00:28:29,15,138
826,2019-07-03 10:27:17,11,11
778,2019-07-01 05:04:09,9,9
70,2019-07-03 10:28:43,175,114
149,2019-07-03 21:00:54,22,87
465,2019-07-03 05:05:04,138,15
632,2019-07-01 10:27:11,153,189
487,2019-07-02 12:06:34,160,159
1,2019-07-02 08:19:40,25,121
518,2019-07-03 16:49:55,115,102
815,2019-07-02 21:05:19,40,70
563,2019-07-01 06:27:22,32,0
221,2019-07-03 18:10:41,90,102
465,2019-07-01 21:04:31,179,174
173,2019-07-01 09:32:40,56,100
269,2019-07-02 01:12:15,157,156
905,2019-07-03 19:39:52,114,94
620,2019-07-02 20:59:58,108,173
544,2019-07-01 13:42:41,51,6
110,2019-07-02 14:57:51,113,111
87,2019-07-01 00:24:48,167,80
314,2019-07-02 21:19:07,89,30
321,2019-07-02 19:22:48,58,168
305,2019-07-02 09:06:34,51,172
86,2019-07-03 11:55:18,149,56
135,2019-07-02 17:37:41,120,181
535,2019-07-02 11:41:37,78,34
370,2019-07-01 06:12:18,140,84
67,2019-07-01 18:56:37,186,95
